country,year,quarter,hpi,inflation,interest_rate,date,hpi_qoq_change,inflation_qoq_change,interest_rate_qoq_change,hpi_yoy_change,inflation_yoy_change,interest_rate_yoy_change
AT,2010,Q1,75.05,1.3,0.25,2010-01-01,,,,,,
AT,2010,Q2,77.21,1.7666666666666666,0.25,2010-04-01,2.88,35.9,0.0,,,
AT,2010,Q3,78.19,1.6666666666666667,0.25,2010-07-01,1.27,-5.66,0.0,,,
AT,2010,Q4,78.84,2.0,0.25,2010-10-01,0.83,20.0,0.0,,,
AT,2011,Q1,78.96,3.0,0.25,2011-01-01,0.15,50.0,0.0,5.21,130.77,0.0
AT,2011,Q2,81.28,3.7000000000000006,0.47,2011-04-01,2.94,23.33,88.0,5.27,109.43,88.0
AT,2011,Q3,82.59,3.8,0.72,2011-07-01,1.61,2.7,53.19,5.63,128.0,188.0
AT,2011,Q4,83.06,3.6666666666666665,0.56,2011-10-01,0.57,-3.51,-22.22,5.35,83.33,124.0
AT,2012,Q1,85.3,2.6999999999999997,0.25,2012-01-01,2.7,-26.36,-55.36,8.03,-10.0,0.0
AT,2012,Q2,85.44,2.2333333333333334,0.25,2012-04-01,0.16,-17.28,0.0,5.12,-39.64,-46.81
AT,2012,Q3,88.71,2.4,0.03,2012-07-01,3.83,7.46,-88.0,7.41,-36.84,-95.83
AT,2012,Q4,88.0,2.9,0.0,2012-10-01,-0.8,20.83,-100.0,5.95,-20.91,-100.0
AT,2013,Q1,89.06,2.6,0.0,2013-01-01,1.2,-10.34,,4.41,-3.7,-100.0
AT,2013,Q2,92.25,2.2333333333333334,0.0,2013-04-01,3.58,-14.1,,7.97,0.0,-100.0
AT,2013,Q3,91.79,1.9666666666666668,0.0,2013-07-01,-0.5,-11.94,,3.47,-18.06,-100.0
AT,2013,Q4,91.68,1.6666666666666667,0.0,2013-10-01,-0.12,-15.25,,4.18,-42.53,
AT,2014,Q1,92.89,1.5,0.0,2014-01-01,1.32,-10.0,,4.3,-42.31,
