country,year,quarter,hpi,inflation,interest_rate
AT,2010,Q1,75.05,1.3,0.25
AT,2010,Q2,77.21,1.7666666666666666,0.25
AT,2010,Q3,78.19,1.6666666666666667,0.25
AT,2010,Q4,78.84,2.0,0.25
AT,2011,Q1,78.96,3.0,0.25
AT,2011,Q2,81.28,3.7000000000000006,0.47
AT,2011,Q3,82.59,3.8000000000000003,0.72
AT,2011,Q4,83.06,3.6666666666666665,0.56
AT,2012,Q1,85.3,2.6999999999999997,0.25
AT,2012,Q2,85.44,2.2333333333333334,0.25
AT,2012,Q3,88.71,2.4,0.03
AT,2012,Q4,88.0,2.9,0.0
AT,2013,Q1,89.06,2.6,0.0
AT,2013,Q2,92.25,2.2333333333333334,0.0
AT,2013,Q3,91.79,1.9666666666666668,0.0
AT,2013,Q4,91.68,1.6666666666666667,0.0
AT,2014,Q1,92.89,1.5,0.0
AT,2014,Q2,94.35,1.5999999999999999,-0.02
AT,2014,Q3,95.32,1.5333333333333332,-0.12
AT,2014,Q4,96.14,1.2333333333333334,-0.2
AT,2015,Q1,98.19,0.6333333333333333,-0.2
AT,2015,Q2,99.97,0.9666666666666667,-0.2
AT,2015,Q3,101.23,0.9,-0.2
AT,2015,Q4,100.61,0.7666666666666666,-0.23
AT,2016,Q1,104.04,1.0333333333333332,-0.32
AT,2016,Q2,106.7,0.6,-0.4
AT,2016,Q3,108.08,0.7666666666666666,-0.4
AT,2016,Q4,108.0,1.5,-0.4
AT,2017,Q1,109.76,2.1999999999999997,-0.4
AT,2017,Q2,112.46,2.1333333333333333,-0.4
AT,2017,Q3,113.67,2.1999999999999997,-0.4
AT,2017,Q4,112.65,2.3666666666666667,-0.4
AT,2018,Q1,115.13,1.9333333333333333,-0.4
AT,2018,Q2,118.94,2.1333333333333333,-0.4
AT,2018,Q3,120.1,2.233333333333333,-0.4
AT,2018,Q4,121.15,2.1333333333333333,-0.4
AT,2019,Q1,121.53,1.5999999999999999,-0.4
AT,2019,Q2,125.79,1.6666666666666667,-0.4
AT,2019,Q3,127.81,1.3666666666666665,-0.41
AT,2019,Q4,128.74,1.3333333333333333,-0.5
AT,2020,Q1,131.26,2.0,-0.5
AT,2020,Q2,134.09,1.0666666666666667,-0.5
AT,2020,Q3,138.0,1.4666666666666668,-0.5
AT,2020,Q4,138.71,1.0666666666666667,-0.5
AT,2021,Q1,144.08,1.5,-0.5
AT,2021,Q2,149.12,2.5666666666666664,-0.5
AT,2021,Q3,153.52,3.1,-0.5
AT,2021,Q4,157.34,3.9,-0.5
AT,2022,Q1,164.63,5.533333333333334,-0.5
AT,2022,Q2,169.43,7.833333333333333,-0.5
AT,2022,Q3,173.59,9.9,0.0
AT,2022,Q4,166.32,11.1,1.3
AT,2023,Q1,164.35,10.6,2.34
AT,2023,Q2,164.68,8.633333333333333,3.17
AT,2023,Q3,164.29,6.766666666666667,3.69
AT,2023,Q4,161.4,5.166666666666667,4.0
AT,2024,Q1,159.54,4.133333333333333,4.0
AT,2024,Q2,164.34,3.266666666666667,3.95
AT,2024,Q3,165.13,2.3666666666666667,3.71
AT,2024,Q4,163.23,1.9333333333333333,3.27
AT,2025,Q1,165.17,3.3000000000000003,2.79
AT,2025,Q2,166.95,3.1666666666666665,2.26
AT,2025,Q3,169.64,3.9,2.0
BE,2005,Q1,70.03,2.3666666666666667,1.0
BE,2005,Q2,71.59,2.5,1.0
BE,2005,Q3,74.12,2.8333333333333335,1.0
BE,2005,Q4,75.65,2.5,1.07
BE,2006,Q1,77.1,2.566666666666667,1.32
BE,2006,Q2,79.18,2.6,1.54
BE,2006,Q3,81.54,2.1999999999999997,1.89
BE,2006,Q4,82.16,1.9333333333333336,2.27
BE,2007,Q1,84.05,1.7666666666666666,2.55
BE,2007,Q2,85.75,1.4666666666666668,2.8
BE,2007,Q3,87.3,1.2666666666666666,3.0
BE,2007,Q4,87.7,2.733333333333333,3.0
BE,2008,Q1,88.51,3.8333333333333335,3.0
BE,2008,Q2,89.69,5.0,3.0
BE,2008,Q3,91.07,5.6000000000000005,3.23
