STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q1,,75.05,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q2,,77.21,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q3,,78.19,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q4,,78.84,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q1,,78.96,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q2,,81.28,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q3,,82.59,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q4,,83.06,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q1,,85.30,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q2,,85.44,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q3,,88.71,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q4,,88.00,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q1,,89.06,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q2,,92.25,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q3,,91.79,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q4,,91.68,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q1,,92.89,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q2,,94.35,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q3,,95.32,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q4,,96.14,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q1,,98.19,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q2,,99.97,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q3,,101.23,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q4,,100.61,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q1,,104.04,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q2,,106.70,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q3,,108.08,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q4,,108.00,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q1,,109.76,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q2,,112.46,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q3,,113.67,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q4,,112.65,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q1,,115.13,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q2,,118.94,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q3,,120.10,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q4,,121.15,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q1,,121.53,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q2,,125.79,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q3,,127.81,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q4,,128.74,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q1,,131.26,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q2,,134.09,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q3,,138.00,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q4,,138.71,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q1,,144.08,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q2,,149.12,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q3,,153.52,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q4,,157.34,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q1,,164.63,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q2,,169.43,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q3,,173.59,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q4,,166.32,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q1,,164.35,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q2,,164.68,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q3,,164.29,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q4,,161.40,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q1,,159.54,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q2,,164.34,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q3,,165.13,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q4,,163.23,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q1,,165.17,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q2,,166.95,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q3,,169.64,,p,provisional,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q1,,70.03,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q2,,71.59,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q3,,74.12,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q4,,75.65,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q1,,77.10,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q2,,79.18,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q3,,81.54,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q4,,82.16,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q1,,84.05,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q2,,85.75,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q3,,87.30,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q4,,87.70,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q1,,88.51,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q2,,89.69,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q3,,91.07,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q4,,90.52,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q1,,89.37,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q2,,88.56,,,,,
